timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1549836768440,46,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-5,,true,,20464,441,6,6,null,0,1384,0
1549836769782,46,Open Predefined Date,200,OK,Main script 1-5,text,true,,20464,441,6,6,http://10.17.175.58/blog/2019/02/05/default,46,0,0
1549836766462,43,Open Random Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-1,,true,,31419,441,6,6,null,0,3431,0
1549836769872,43,Open Random Page,200,OK,Main script 1-1,text,true,,31419,441,6,6,http://10.17.175.58/blog/2019/02/02/default,33,0,5
1549836766498,75,Open Large Calendar,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-4,,true,,26923,444,6,6,null,0,3901,0
1549836770358,75,Open Large Calendar,200,OK,Main script 1-4,text,true,,26923,444,6,6,http://10.17.175.58/blog/calendar/default.aspx,65,0,8
1549836769936,59,Open Random Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-1,,true,,25939,437,6,6,null,0,1297,0
1549836771192,59,Open Random Post,200,OK,Main script 1-1,text,true,,25939,437,6,6,http://10.17.175.58/blog/post/editor118,49,0,8
1549836768840,68,Open Random Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-3,,true,,29630,423,6,6,null,0,3279,0
1549836772084,68,Open Random Page,200,OK,Main script 1-3,text,true,,29630,423,6,6,http://10.17.175.58/blog/,55,0,12
1549836768188,75,Open Random Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-2,,true,,26923,444,6,6,null,0,4336,0
1549836772485,75,Open Random Page,200,OK,Main script 1-2,text,true,,26923,444,6,6,http://10.17.175.58/blog/calendar/default.aspx,65,0,8
1549836773192,52,Open to Home page,200,OK,Main script 1-6,text,true,,29630,423,6,6,http://10.17.175.58/blog/,40,0,9
1549836769870,83,Open Random Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-5,,true,,26069,436,6,6,null,0,4232,0
1549836774052,83,Open Random Post,200,OK,Main script 1-5,text,true,,26069,436,6,6,http://10.17.175.58/blog/post/editor11,61,0,7
1549836773244,42,Search By Name,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-6,,true,,26622,439,6,6,null,0,1069,0
1549836774293,42,Search By Name,200,OK,Main script 1-6,text,true,,26622,439,6,6,http://10.17.175.58/blog/search?q=editor3,42,0,0
1549836770474,81,Open Random Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-4,,true,,26923,444,6,6,null,0,3911,0
1549836774363,81,Open Random Page,200,OK,Main script 1-4,text,true,,26923,444,6,6,http://10.17.175.58/blog/calendar/default.aspx,70,0,20
1549836772187,77,Open First Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-3,,true,,26039,437,6,6,null,0,2583,0
1549836774729,77,Open First Post,200,OK,Main script 1-3,text,true,,26039,437,6,6,http://10.17.175.58/blog/post/editor113,70,0,8
1549836774356,49,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-6,,true,,20464,441,7,7,null,0,1579,0
1549836775903,49,Open Predefined Date,200,OK,Main script 1-6,text,true,,20464,441,7,7,http://10.17.175.58/blog/2019/02/05/default,40,0,7
1549836774185,47,Home page,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-5,,true,,29630,423,7,7,null,0,1838,0
1549836775991,47,Home page,200,OK,Main script 1-5,text,true,,29630,423,7,7,http://10.17.175.58/blog/,45,0,0
1549836771293,94,Comment,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-1,,true,,2415,2302,7,7,null,0,4782,0
1549836776075,94,Comment,200,OK,Main script 1-1,text,true,,2415,2302,7,7,http://10.17.175.58/blog/post/editor118,94,0,8
